Da­tum,Wie­der­ga­be­zeit (Stun­den)
2021-11-26,7.683
2021-11-27,10.9378
2021-11-28,13.8833
2021-11-29,17.2007
2021-11-30,21.3479
2021-12-01,17.3309
2021-12-02,17.1788
2021-12-03,11.9928
2021-12-04,10.9134
2021-12-05,12.9875
2021-12-06,16.7771
2021-12-07,21.521
2021-12-08,19.5834
2021-12-09,16.5488
2021-12-10,14.7307
2021-12-11,11.9139
2021-12-12,16.1623
2021-12-13,22.7593
2021-12-14,15.5687
2021-12-15,14.4853
2021-12-16,12.9744
2021-12-17,9.8057
2021-12-18,8.4775
2021-12-19,10.6153
2021-12-20,19.0672
2021-12-21,12.1731
2021-12-22,9.5402
2021-12-23,6.9752
2021-12-24,3.8419
2021-12-25,4.8476
2021-12-26,6.8894
2021-12-27,8.4774
2021-12-28,8.1993
2021-12-29,12.5054
2021-12-30,10.6306
2021-12-31,5.877
2022-01-01,5.0502
2022-01-02,17.3248
2022-01-03,19.1122
2022-01-04,19.8639
2022-01-05,20.3256
2022-01-06,21.9279
2022-01-07,18.8216
2022-01-08,19.237
2022-01-09,20.4458
2022-01-10,25.6715
2022-01-11,27.5559
2022-01-12,32.8055
2022-01-13,26.1773
2022-01-14,22.6449
2022-01-15,25.0688
2022-01-16,24.9136
2022-01-17,38.7981
2022-01-18,34.6046
2022-01-19,33.068
2022-01-20,29.197
2022-01-21,22.8708
2022-01-22,26.5405
2022-01-23,41.8591
2022-01-24,37.5604
2022-01-25,39.0444
2022-01-26,33.7043
2022-01-27,31.5072
2022-01-28,25.2643
2022-01-29,23.4057
2022-01-30,33.6003
2022-01-31,35.4562
2022-02-01,42.0795
2022-02-02,39.2357
2022-02-03,36.5565
2022-02-04,31.9081
2022-02-05,23.9203
2022-02-06,34.8678
2022-02-07,38.6755
2022-02-08,39.8903
2022-02-09,37.2334
2022-02-10,31.2018
2022-02-11,34.6129
2022-02-12,26.5583
2022-02-13,37.8924
2022-02-14,33.0416
2022-02-15,39.0376
2022-02-16,29.5174
2022-02-17,34.9881
2022-02-18,28.1249
2022-02-19,25.0376
2022-02-20,30.7512
2022-02-21,35.4939
2022-02-22,28.6988
2022-02-23,29.2485
2022-02-24,24.0717
2022-02-25,23.8742
2022-02-26,24.6607
2022-02-27,28.5847
2022-02-28,31.496
2022-03-01,23.776
2022-03-02,31.3266
2022-03-03,25.4697
2022-03-04,18.0743
2022-03-05,18.947
2022-03-06,22.6191
2022-03-07,26.1107
2022-03-08,17.1955
2022-03-09,13.9705
2022-03-10,13.7484
2022-03-11,12.7365
2022-03-12,10.2539
2022-03-13,11.8736
2022-03-14,18.282
2022-03-15,17.4639
2022-03-16,17.8412
2022-03-17,19.9926
2022-03-18,16.7816
2022-03-19,14.0576
2022-03-20,21.1826
